"","station","long","lat","ExCode","address","market store","adj_subway","school","cafe","academy","cultural facility","attraction","bank","hospital","bus_station"
"132","신금호","127.020331","37.554548","538","서울특별시 성동구 금호로 지하 154",1,1,6,30,37,1,2,15,22,51
"133","행당","127.029476","37.557322","539","서울특별시 성동구 행당로 지하 89",2,1,4,25,87,0,0,19,37,46
"134","마장","127.042973","37.5661","541","서울특별시 성동구 마장로 지하 296",0,1,5,14,18,0,1,12,12,18
"135","답십리","127.052704","37.566747","542","서울특별시 성동구 천호대로 지하 300",1,1,1,42,42,0,2,15,57,16
"136","장한평","127.064623","37.56144","543","서울특별시 동대문구 천호대로 지하 405",0,1,1,29,16,0,0,19,25,10
"137","군자","127.079542","37.557121","544","서울특별시 광진구 천호대로 지하 550",1,2,1,80,69,4,1,16,47,23
"138","아차산","127.089761","37.551691","545","서울특별시 광진구 천호대로 지하 657",2,1,4,62,55,3,0,4,37,25
"139","광나루","127.10357","37.545303","546","서울특별시 광진구 아차산로 지하 571",3,1,5,43,30,1,1,10,13,18
"140","천호","127.123572","37.538397","547","서울특별시 강동구 천호대로 지하 997",2,2,0,112,48,1,5,42,132,17
"141","강동","127.132481","37.535804","548","서울특별시 강동구 천호대로 지하 1097",2,1,1,72,33,2,1,21,60,17
"142","길동","127.140004","37.537801","549","서울특별시 강동구 양재대로 지하 1480",2,1,2,68,52,1,0,31,86,25
"143","굽은다리","127.142853","37.545477","550","서울특별시 강동구 양재대로 지하 1572",2,1,2,53,93,3,1,20,34,10
"144","명일","127.143999","37.55137","551","서울특별시 강동구 양재대로 지하 1632",2,1,4,55,100,0,1,14,63,23
"145","고덕","127.154151","37.555004","552","서울특별시 강동구 고덕로 지하 253",2,1,3,30,130,4,0,23,47,14
"146","상일동","127.166417","37.556712","553","서울특별시 강동구 고덕로 지하 359",0,1,1,1,8,0,0,3,10,20
"147","응암","126.915577","37.598605","610","서울특별시 은평구 증산로 지하 477",2,1,3,51,102,0,0,19,49,29
"148","새절","126.913629","37.591148","616","서울특별시 은평구 증산로 지하 400",1,1,1,42,43,1,0,16,47,33
"149","증산","126.909645","37.583876","617","서울특별시 은평구 증산로 지하 306",1,1,3,40,41,1,0,10,22,20
"150","디지털미디어시티","126.900984","37.576646","618","서울특별시 은평구 수색로 지하 175",1,3,0,39,8,2,0,13,11,23
"151","월드컵경기장","126.899298","37.569532","619","서울특별시 마포구 월드컵로 지하 240",2,1,0,17,19,6,1,16,23,21
"152","마포구청","126.903343","37.563515","620","서울특별시 마포구 월드컵로 지하 190",0,1,2,48,21,1,2,9,9,22
